날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,"최종확정
여부"
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm),
2023-08-30,16,10,0.0222,0.0241,0.51,0.0030,Y
2023-08-29,12,7,0.0157,0.0189,0.37,0.0028,Y
2023-08-28,13,9,0.0232,0.0175,0.38,0.0027,Y
2023-08-27,23,18,0.0406,0.0129,0.46,0.0029,Y
2023-08-26,32,24,0.0712,0.0138,0.53,0.0033,Y
2023-08-25,14,8,0.0361,0.0141,0.39,0.0031,Y
2023-08-24,5,3,0.0297,0.0152,0.34,0.0030,Y
2023-08-23,8,6,0.0216,0.0196,0.30,0.0027,Y
2023-08-22,18,14,0.0170,0.0189,0.25,0.0025,Y
2023-08-21,21,16,0.0269,0.0187,0.28,0.0027,Y
2023-08-20,22,18,0.0409,0.0109,0.26,0.0026,Y
2023-08-19,21,17,0.0443,0.0167,0.28,0.0028,Y
2023-08-18,32,26,0.0527,0.0204,0.46,0.0030,Y
2023-08-17,23,18,0.0532,0.0196,0.54,0.0031,Y
2023-08-16,15,10,0.0330,0.0156,0.39,0.0030,Y
2023-08-15,21,16,0.0347,0.0102,0.36,0.0030,Y
2023-08-14,35,29,0.0398,0.0173,0.52,0.0033,Y
2023-08-13,24,18,0.0426,0.0136,0.44,0.0031,Y
2023-08-12,16,12,0.0270,0.0194,0.43,0.0031,Y
2023-08-11,15,10,0.0248,0.0183,0.42,0.0030,Y
2023-08-10,4,2,0.0301,0.0095,0.26,0.0030,Y
2023-08-09,6,3,0.0157,0.0117,0.28,0.0036,Y
2023-08-08,7,5,0.0131,0.0142,0.30,0.0037,Y
2023-08-07,9,6,0.0164,0.0127,0.29,0.0022,Y
2023-08-06,19,16,0.0254,0.0136,0.32,0.0023,Y
2023-08-05,16,13,0.0261,0.0079,0.23,0.0027,Y
2023-08-04,17,13,0.0252,0.0151,0.29,0.0027,Y
2023-08-03,16,14,0.0112,0.0187,0.29,0.0027,Y
2023-08-02,27,24,0.0322,0.0160,0.32,0.0024,Y
2023-08-01,25,22,0.0475,0.0173,0.36,0.0024,Y
2023-07-31,25,22,0.0337,0.0182,0.35,0.0025,Y
2023-07-30,12,10,0.0303,0.0142,0.30,0.0023,Y
2023-07-29,23,21,0.0243,0.0129,0.29,0.0031,Y
2023-07-28,27,23,0.0259,0.0167,0.32,0.0032,Y
2023-07-27,18,14,0.0259,0.0168,0.32,0.0028,Y
2023-07-26,10,6,0.0149,0.0156,0.28,0.0025,Y
2023-07-25,15,11,0.0238,0.0142,0.30,0.0025,Y
2023-07-24,17,15,0.0375,0.0163,0.36,0.0027,Y
2023-07-23,7,5,0.0110,0.0101,0.26,0.0022,Y
2023-07-22,26,22,0.0357,0.0149,0.38,0.0030,Y
2023-07-21,53,48,0.0775,0.0243,0.61,0.0031,Y
2023-07-20,46,39,0.0509,0.0215,0.53,0.0030,Y
2023-07-19,25,17,0.0325,0.0160,0.40,0.0028,Y
2023-07-18,15,10,0.0100,0.0200,0.39,0.0026,Y
2023-07-17,22,15,0.0239,0.0207,0.35,0.0027,Y
2023-07-16,25,15,0.0322,0.0128,0.33,0.0026,Y
2023-07-15,21,14,0.0293,0.0170,0.40,0.0025,Y
2023-07-14,15,10,0.0206,0.0192,0.35,0.0025,Y
2023-07-13,21,16,0.0113,0.0307,0.49,0.0029,Y
2023-07-12,20,14,0.0307,0.0239,0.40,0.0027,Y
2023-07-11,16,11,0.0363,0.0244,0.43,0.0027,Y
2023-07-10,28,20,0.0506,0.0191,0.43,0.0025,Y
2023-07-09,12,9,0.0396,0.0145,0.36,0.0023,Y
2023-07-08,10,6,0.0377,0.0166,0.36,0.0025,Y
2023-07-07,35,21,0.0463,0.0218,0.54,0.0029,Y
2023-07-06,39,27,0.0613,0.0218,0.56,0.0029,Y
2023-07-05,20,14,0.0493,0.0129,0.41,0.0025,Y
2023-07-04,28,24,0.0311,0.0215,0.44,0.0026,Y
2023-07-03,27,21,0.0448,0.0202,0.44,0.0025,Y
2023-07-02,15,13,0.0340,0.0124,0.35,0.0025,Y
2023-07-01,21,17,0.0449,0.0139,0.39,0.0025,Y
2023-06-30,31,24,0.0483,0.0193,0.45,0.0025,Y
2023-06-29,29,22,0.0304,0.0182,0.45,0.0024,Y
2023-06-28,25,22,0.0441,0.0165,0.40,0.0026,Y
2023-06-27,15,11,0.0457,0.0151,0.34,0.0025,Y
2023-06-26,15,11,0.0242,0.0173,0.39,0.0026,Y
2023-06-25,26,23,0.0494,0.0137,0.40,0.0025,Y
2023-06-24,30,25,0.0551,0.0179,0.42,0.0027,Y
2023-06-23,28,23,0.0440,0.0220,0.53,0.0026,Y
2023-06-22,15,10,0.0279,0.0133,0.34,0.0026,Y
2023-06-21,7,5,0.0195,0.0132,0.31,0.0025,Y
2023-06-20,30,22,0.0313,0.0255,0.49,0.0032,Y
2023-06-19,39,29,0.0617,0.0213,0.52,0.0030,Y
2023-06-18,20,14,0.0481,0.0116,0.35,0.0026,Y
2023-06-17,15,11,0.0459,0.0177,0.35,0.0026,Y
2023-06-16,20,15,0.0441,0.0176,0.37,0.0028,Y
2023-06-15,24,17,0.0406,0.0192,0.41,0.0026,Y
2023-06-14,23,17,0.0424,0.0201,0.41,0.0025,Y
2023-06-13,21,15,0.0455,0.0176,0.38,0.0027,Y
2023-06-12,23,17,0.0466,0.0194,0.42,0.0028,Y
2023-06-11,17,12,0.0549,0.0089,0.35,0.0022,Y
2023-06-10,28,19,0.0581,0.0173,0.42,0.0026,Y
2023-06-09,21,14,0.0507,0.0201,0.41,0.0025,Y
2023-06-08,16,11,0.0371,0.0152,0.40,0.0025,Y
2023-06-07,29,19,0.0471,0.0166,0.42,0.0024,Y
2023-06-06,15,9,0.0550,0.0089,0.28,0.0024,Y
2023-06-05,23,14,0.0477,0.0166,0.35,0.0028,Y
2023-06-04,29,17,0.0662,0.0110,0.39,0.0029,Y
2023-06-03,25,12,0.0453,0.0140,0.35,0.0027,Y
2023-06-02,24,14,0.0411,0.0139,0.35,0.0023,Y
2023-06-01,30,19,0.0467,0.0173,0.39,0.0026,Y
2023-05-31,22,13,0.0405,0.0181,0.35,0.0026,Y
2023-05-30,29,18,0.0268,0.0197,0.41,0.0027,Y
2023-05-29,11,6,0.0194,0.0184,0.37,0.0025,Y
2023-05-28,6,4,0.0152,0.0155,0.32,0.0023,Y
2023-05-27,23,14,0.0213,0.0243,0.42,0.0027,Y
2023-05-26,27,12,0.0513,0.0170,0.33,0.0030,Y
2023-05-25,28,13,0.0521,0.0174,0.35,0.0030,Y
2023-05-24,34,15,0.0388,0.0290,0.42,0.0037,Y
2023-05-23,51,13,0.0366,0.0174,0.32,0.0027,Y
2023-05-22,111,27,0.0368,0.0164,0.39,0.0028,Y
2023-05-21,64,21,0.0446,0.0095,0.36,0.0026,Y
2023-05-20,20,13,0.0411,0.0162,0.36,0.0028,Y
2023-05-19,20,13,0.0396,0.0153,0.34,0.0026,Y
2023-05-18,31,19,0.0324,0.0157,0.35,0.0026,Y
2023-05-17,29,16,0.0408,0.0162,0.36,0.0029,Y
2023-05-16,50,33,0.0690,0.0254,0.48,0.0035,Y
2023-05-15,31,21,0.0538,0.0214,0.40,0.0031,Y
2023-05-14,18,12,0.0486,0.0140,0.33,0.0029,Y
2023-05-13,37,27,0.0526,0.0154,0.40,0.0032,Y
2023-05-12,48,31,0.0404,0.0335,0.51,0.0048,Y
2023-05-11,43,25,0.0525,0.0258,0.48,0.0048,Y
2023-05-10,48,31,0.0453,0.0294,0.50,0.0044,Y
2023-05-09,44,28,0.0427,0.0315,0.49,0.0036,Y
2023-05-08,30,22,0.0291,0.0276,0.42,0.0027,Y
2023-05-07,28,24,0.0360,0.0154,0.34,0.0022,Y
2023-05-06,15,8,0.0344,0.0111,0.33,0.0021,Y
2023-05-05,9,5,0.0166,0.0139,0.33,0.0023,Y
2023-05-04,37,21,0.0447,0.0197,0.37,0.0027,Y
2023-05-03,32,17,0.0423,0.0244,0.40,0.0033,Y
2023-05-02,26,12,0.0356,0.0283,0.39,0.0030,Y
2023-05-01,36,15,0.0428,0.0146,0.35,0.0028,Y
2023-04-30,32,12,0.0450,0.0120,0.30,0.0030,Y
2023-04-29,23,11,0.0320,0.0150,0.40,0.0020,Y
2023-04-28,30,16,0.0350,0.0290,0.50,0.0030,Y
2023-04-27,30,20,0.0270,0.0280,0.50,0.0030,Y
2023-04-26,21,12,0.0360,0.0130,0.30,0.0020,Y
2023-04-25,29,15,0.0280,0.0220,0.40,0.0030,Y
2023-04-24,43,16,0.0390,0.0160,0.40,0.0030,Y
2023-04-23,43,14,0.0350,0.0150,0.30,0.0030,Y
2023-04-22,45,11,0.0350,0.0150,0.30,0.0020,Y
2023-04-21,43,13,0.0360,0.0110,0.30,0.0030,Y
2023-04-20,19,13,0.0250,0.0160,0.40,0.0020,Y
2023-04-19,32,19,0.0380,0.0240,0.50,0.0030,Y
2023-04-18,40,18,0.0290,0.0230,0.50,0.0020,Y
2023-04-17,88,25,0.0370,0.0230,0.40,0.0030,Y
2023-04-16,92,27,0.0410,0.0140,0.40,0.0020,Y
2023-04-15,52,18,0.0340,0.0210,0.40,0.0020,Y
2023-04-14,79,16,0.0350,0.0300,0.40,0.0040,Y
2023-04-13,167,23,0.0160,0.0370,0.50,0.0040,Y
2023-04-12,234,24,0.0270,0.0230,0.40,0.0020,Y
2023-04-11,57,17,0.0360,0.0190,0.40,0.0030,Y
2023-04-10,40,18,0.0410,0.0260,0.50,0.0030,Y
2023-04-09,50,14,0.0370,0.0210,0.40,0.0030,Y
2023-04-08,33,6,0.0370,0.0150,0.30,0.0030,Y
2023-04-07,69,42,0.0380,0.0210,0.50,0.0030,Y
2023-04-06,59,56,0.0350,0.0210,0.70,0.0020,Y
2023-04-05,16,12,0.0320,0.0210,0.40,0.0030,Y
2023-04-04,35,20,0.0470,0.0230,0.40,0.0030,Y
